id,name,category,question,response
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Where is the hotel located?,"City center , business area"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Can I have the hotel location on Google Maps?,https://maps.app.goo.gl/ykKDjm8kkxAyasUu9
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,What's the neighborhood like?,"City center , business area"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,How far is the hotel from the city center?,0km
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Are there any public transportation options?,"Tranway, bus, taxis "
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Do you offer airport shuttle service?,"yes, please use this link to book :https://new.transfersforhotels.com/en/h/casablanca/jm-suites-hotel-eco-friendly-casablanca?r=book_ins"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Can I arrange for a private transfer?,"yes, please use this link to book : https://new.transfersforhotels.com/en/h/casablanca/jm-suites-hotel-eco-friendly-casablanca?r=book_ins"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,"Is parking available at the hotel, and if so, is there a fee?",yes at a cost of 5€ / day 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Are there electric vehicle charging stations?,no
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Location & Accessibility,Are there subway or bus stops nearby?,"yes , tranway is 600 meters away"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Check-in & Check-out,What is the check-in time?,14H00
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Check-in & Check-out,What is the check-out time?,12H00
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Check-in & Check-out,Can I request an early check-in?,"Our check in time is 2:00pm. 
However should you need and early Check in , the following extra cost applies : 
* 2 hours before 2pm   the charge will be  400 dhs/ 38 €. 
* from 2- 4 hours before 2pm   the charge will be   50% of your room charge 
* over 4 hours , we will charge you 100% of 1 roomnight .
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Check-in & Check-out,How late can I check-out? Is there a fee for late check-out?,"The extra cost for the late check out is the following: 
*(until 3 pm) is 400 dhs/ 38 €.
*(Until 5 pm) is 50 % of your room night 
*After 5 pm it is 100 % of your room night"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Check-in & Check-out,Can I store my luggage at the hotel before check-in or after check-out?,"yes but only for 24hours, after a fee of 2,5€/ piece/day may apply"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Check-in & Check-out,What documents are required at check-in?,Passport 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Are the rooms equipped with air conditioning and heating?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Are there any rooms with balconies?,only master suites
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Do you offer rooms with accessibility features for guests with disabilities?,yes 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Are there ramps and elevators?,yes 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,What are the conditions for baby cots and extra beds?,"crib is free, 40 € for extra bed for kids over 12 years old"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Do you provide baby crib bedding?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,What are the room amenities?,"Mobile key generated automatically on your smartphone to unlock your room door . automated 100 % black out curtains. (2) wall charging USB docks . Ultra-HD TV 108 cm . IPTV with 80 TV channels in 12 languages. High speed unlimited Wi-Fi 
 … and much more "
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,What bathroom amenities are provided?,"yes
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Do you provide dental kits and shaving kits?,yes upon request
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Do the rooms come with a minibar or refrigerator?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Are there tea and coffee making facilities in the rooms?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Are there in-room safes for valuables?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,What entertainment facilities are available in the rooms?,IPTV
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Do you have Smart TVs with streaming services?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Can I connect my own devices to the TV?,"yes through miroring but only for Samsung and android
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Room Information,Are there charging ports in the rooms?,yes 2 USB port in the wall 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,What is the style of the hotel?,"Urban and Ecological 4 * business hotel 
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,What type of breakfast does the hotel offer?,"buffet breakfast with moroccan specialities
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,What are the breakfast timings?,07h-10H and 07h-11H on weekends 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Is there a swimming pool?,no
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Is the pool heated?,
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Are there poolside services?,
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Is there a fitness center?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,What equipment is available in the gym?,"Open Daily 24h/24h. We are providing you a basic but sufficient high-end Technogym equipment you need, to get shape including: 
Treadmills, exercise bike, elliptic, multifunction bench , wellness rack "
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Are personal trainers available?,no
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Is there a space where I can make videoconference meetings?,yes in the breakfast room
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Is there a quiet space for work?,yes 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Hotel Information,Can I use a printer?,yes 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Reservation,Can I modify or cancel my reservation after booking?,"depending on the rate type , of flexible  yes, if non refundable no
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Reservation,Are there special rates or discounts for children's stays?,"children under 12 sharing the room with their parents are free , over 12 years old at 50% charge apply in the room rate 
"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Reservation,Are there age restrictions for children to stay at the hotel?,no
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Reservation,Do you offer family-friendly room options?,rooms are large enough
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Payment and Policies,What payment methods do you accept?,"all credit cards, visa, mastercard, amex, diners, are acepted "
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Payment and Policies,"Is a deposit required at the time of booking? If yes, How much is the deposit?","depending on the rate type , of flexible  no, if non refundable yes"
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Payment and Policies,What is your pet policy? Are there restrictions on pet size?,not allowed 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Payment and Policies,Do you have any specific policy?,
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Is there Wi-Fi? How much does it cost?, free and unlimited 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Is the Wi-Fi reliable for video calls?,yes 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Can I stream movies with the Wi-Fi?,yes 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Do you provide USB charging outlets?,yes  2 in the room
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Are there international plug adapters available?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Do you have hand sanitizing stations?,no
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,Are masks and gloves available?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Connectivity and Health,What health and safety measures are in place at the hotel?,not after covid
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Do you have 24/7 security staff?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Are there security cameras on the premises?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Is there a keycard access system?,yes
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Are there play areas for children?,no
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Do you have a babysitting service?,yes  at a cost of 15€/ hour 
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Can the hotel staff assist in arranging special events or surprises (like birthday celebrations or romantic dinners)?,of course
00bc4c1e-69d8-4dc9-a317-4847ab13a2ca,JM SUITES HOTEL,Security and Additional Services,Can I arrange for a romantic room setup?,"yes honeymoon , anniversaries arrangement "
