id,name,category,question,response
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Where is the hotel located?,"4, Rue du Soldat Maurice Benhammou 20370 Casablanca, Maroc"
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Can I have the hotel location on Google Maps?,https://maps.app.goo.gl/ofpWGr49ivWAc2XE7
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,What's the neighborhood like?,
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,How far is the hotel from the city center?,The hotel is located in the city center
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Are there any public transportation options?,"Yes, taxis"
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Do you offer airport shuttle service?,Airport shuttle can be arranged upon request
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Can I arrange for a private transfer?," We are pleased to inform you that we collaborate with a private chauffeur company that provides shuttles from/to Casablanca Mohammed V airport to/from our hotel for our guests at a rate of 400 MAD per trip. This company has Mercedes-Benz Vito vehicles that can accommodate up to 5 people with luggage. The price of the airport transfer will be added to your invoice and payable upon check out. Please confirm that this is convenient for you, send us your flight information, and we will gladly arrange the airport shuttle for your arrival."
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,"Is parking available at the hotel, and if so, is there a fee?",We are pleased to inform you that our establishment has a private parking lot in the immediate vicinity and a valet service. We are also pleased to inform you that there is availability and you do not need to reserve your parking space.
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Are there electric vehicle charging stations?,No
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Hotel Location & Accessibility,Are there subway or bus stops nearby?,Only Bus stops
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Check-in & Check-out,What is the check-in time?,14h
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Check-in & Check-out,What is the check-out time?,12h
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Check-in & Check-out,Can I request an early check-in?,Early check-in is subject to availability on the day of arrival.
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Check-in & Check-out,How late can I check-out? Is there a fee for late check-out?,Late check- out at 6pm MAX.  Late check-out fee: 50% of the stay rate
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Check-in & Check-out,Can I store my luggage at the hotel before check-in or after check-out?,We are pleased to inform you that we have a luggage room where you will be able to store your luggage before check-in or after check-out
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Check-in & Check-out,What documents are required at check-in?,Passeport or ID
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Room Information,Are the rooms equipped with air conditioning and heating?,"Yes, the suites are equipped with air conditioning and heating"
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Room Information,Are there any rooms with balconies?,"Yes, the suites are equipped with air conditioning and heating"
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Room Information,Do you offer rooms with accessibility features for guests with disabilities?,
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Room Information,Are there ramps and elevators?,We inform you that we only have elevators.
