id,name,service category,service name,type,description,opening_hours
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Restaurant,L'Art,International evening,The restaurant L'ART serves international cuisine and hosts concerts from Monday to Saturday.,
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Restaurant,L'Art du Tajine,Moroccan,"For a more traditional experience, you can enjoy delicious Moroccan dishes and mint tea at the L'Art du Tajine restaurant.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Lounge & Bar,Le 4 Lounge Bar,Bar ,"It's a bar with clean lines, with a lively musical ambiance provided by a DJ, where cocktails are crafted and served with passion. A design bar, each aspect of which will surprise and delight you. It's a stylish bar, born from Palace standards, rising above conventions with modern sophistication, it's The 4 Lounge Bar.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Room Service,Room Service,Room service,Experience the luxury of 24-hour room service. Gourmet delights delivered to your door for an unparalleled stay experience. Relax and savor every moment of your getaway.,
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Spa & well-being,L'Ambre Spa,"Spa, Massage, Hammam","Temple of relaxation, L'Ambre Spa is a 250 m² oasis where a serene atmosphere reigns, conducive to the development of your five senses.

Between soothing or energizing massages, body wraps, Hammams, saunas, energizing rituals, beauty treatments, hairstyling, and hydrotherapy, you'll find relief for your ailments.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Rooms & Accommodation,Suite Junior,Suite,"Located on an upper floor, the Junior Suites at Art Palace Suites & Spa offer you absolute comfort in a warm atmosphere.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Rooms & Accommodation,Suites Supérieure,Suite,"Located on an upper floor, the Superior Suites at Art Palace Suites & Spa offer you an elegant and refined setting to enjoy a peaceful stay.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Rooms & Accommodation,Suites Deluxe,Suite,"Located on a high floor, the Deluxe Suites at Art Palace Suites & Spa offer even more space and are decorated in a modern style. The Leonardo da Vinci Deluxe Suite features a spacious terrace.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Rooms & Accommodation,Suites Deluxe avec Patio Andalou,Suite,"Located on the 1st floor, the Deluxe Suites with Andalusian Patio at Art Palace Suites & Spa are decorated in traditional Moroccan style, guaranteeing you a complete change of scenery in the heart of the economic capital of the Kingdom.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Rooms & Accommodation,Suites Prestige,Suite,"Decorated in Oriental, Art Deco, or modern style, the Prestige Suites at Art Palace Suites & Spa are located on high floors and offer sumptuous decor. These suites feature artworks, refined fabrics, and furniture for a unique experience.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Rooms & Accommodation,Suites Prestige avec Terrasse,Suite,"Decorated in Oriental, Art Deco, or modern style, the Prestige Suites at Art Palace Suites & Spa are located on high floors and offer sumptuous decor. These suites feature artworks, refined fabrics, and furniture for a unique experience. Additionally, these suites boast a carefully designed terrace.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Corporate Events,Conference Rooms,,"Host your corporate events in our state-of-the-art Conference Hall. Equipped with modern audio-visual facilities and flexible seating arrangements, our hall is perfect for conferences, seminars, and business meetings. Our dedicated team will ensure a successful event tailored to your needs.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Corporate Events,Meeting Rooms, ,"Host your corporate events in our meeting rooms. Equipped with modern audio-visual facilities and flexible seating arrangements, our facilities are perfect for business meetings or trainings. Our dedicated team will ensure a successful event tailored to your needs.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Corporate Events,Catering,,"Elevate your events with our exquisite catering services. Whether it’s a coffee break or a full-course lunch, guests will be delighted by our diverse menu featuring international cuisine",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Corporate Events,Accomodation,,Planning a multi-day event? Provide your guests with luxurious accommodations in one of Casablanca's iconic hotels. Choose from a variety of room and suite options designed for comfort and convenience.,
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Housekeeping,Housekeeping,,"Whether you need fresh towels, a tidy room, or any other specific cleaning task, our attentive staff will promptly assist you. Enjoy a customized and convenient experience during your stay with us",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Laundry,Laundry,,"Our hotel’s laundry service ensures fresh clothing for our guests. Whether you need your favorite outfit or tomorrow shirts cleaned, our efficient team handles it all. Simply drop off your items and request the landry service here.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Transportation,Transportation,,"We offer a convenient shuttle service to and from the airport, ensuring hassle-free transportation for our guests.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Check In/Out,Check-in/Check-out,,"Early check-in and late check-out are available upon request, subject to availability. Whether you want to settle in sooner or extend your stay, we’ll do our best to accommodate your needs.",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Concierge,Concierge,,"Our concierge service is here to cater to your every need, from booking the perfect dinner spot to arranging transportation and securing tickets to events. Let us make your stay memorable by personalizing your experience with us",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Lost & Found,Lost&Found,,"If you've misplaced something during your stay, our Lost and Found service is here to help. Report your missing item, and we'll make every effort to locate and return it to you as quickly as possible",
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Other,Other,,Our hotel’s concierge service is at your disposal for any additional needs during your stay. Just send us your request.,
0126e2f8-5094-4940-a4c3-72e64152c6e9,Art Palace Suites & Spa,Request - Claim,Claim,,I'm truly sorry to hear that you may have experienced an issue. I'm here to help and can ensure your claim is forwarded directly to our managers for prompt attention. Would you like to proceed with submitting your claim?,
