id,name,category,question,response
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Where is the hotel located?,The hotel is located at: 138 MOULAY YOUSSEF CORNER WITH TIZNIT STREET
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Can I have the hotel location on Google Maps?,https://maps.app.goo.gl/pbnQKk1Bfu1Vmknv5
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,What's the neighborhood like?,"The neighbborhood is one of the best place in casablanca. Near to the most famous mosque in the world, the biggest in Africa, the mosquee hassan II is just a few minutes away, there is no other hotel or residence nearer. In front of the door, you can see the exhibition center which hosts around 20 events per year. At 5 minutes, you get to old town, very authentic place, with good restaurant such as scala, rick""s café. Maarif with the shopping and commercial areas such as the ""twin center"" which is very famous in casablanca is also few kilometers away, along with the train station, banks, hospital, business centers such as marina center, and malls. Finallly, you got to reach the corniche for having fun at the beach during day, or visit clubs for festive nightlife, it""s just few minutes away too. So your hotel is at a very centric spot ! All of those listed commodities are less than 10 minutes away by driving."
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,How far is the hotel from the city center?,"THE CITY CENTER IS 5 MINUTES BY CAR, AND 20 MINUTES BY WALK."
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Are there any public transportation options?,"It offers convenient transportation options like taxis, buses, and private drivers (exp : indrive, kareem ..). 
However, we suggest you to use small red taxis, that""s for us the best recommendation."
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Do you offer airport shuttle service?,"We work with an external service provider, the best option remains to take the big taxi or ""white taxi"",
 those are specialized in tarnsporting guests to and from the airport. We might reserve one for you."
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Can I arrange for a private transfer?,"We work with an external service provider, the best option remains to take the big taxi or ""white taxi"", 
those are specialized in tarnsporting guests to and from the airport. We might reserve one for you."
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,"Is parking available at the hotel, and if so, is there a fee?","Hotel customers can access to the basement parking at level -2, and park their car for the whole stay for
 free. Cowork&Live customers would have to pay for reserving a spot. Notice that thee is plenty of space 
at public parkings outside, just at the corner of the hotel."
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Are there electric vehicle charging stations?,NO
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Hotel Location & Accessibility,Are there subway or bus stops nearby?,"yes, bus stops"
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Check-in & Check-out,What is the check-in time?,3:00 pm
189f4acc-f035-4ca2-8d26-5cdfd8560949,Melliber Hotel Staging,Check-in & Check-out,What is the check-out time?,12:00 pm
