id,name,category,question,response
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Where is the hotel located?,In city center of Rabat at Avenue Chellah
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Can I have the hotel location on Google Maps?,"https://www.google.com/maps/dir/34.0196367,-6.8243916/tour+hassan+palace/@34.0194035,-6.832523,16z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0xda76b8f50d0a30f:0x7c901812ad50ed31!2m2!1d-6.8303547!2d34.0194903?entry=ttu"
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,What's the neighborhood like?,We have the best location and we are close to all the monuments
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,How far is the hotel from the city center?,We are in the city center
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Are there any public transportation options?,"There is tramway, taxi and bus"
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Do you offer airport shuttle service?,We do not offer airport shuttle service but we can organize a transfer with the hotel car
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Can I arrange for a private transfer?,We can organize transportation with the hotel car
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,"Is parking available at the hotel, and if so, is there a fee?",The parking is available with limited places for free
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Are there electric vehicle charging stations?,There is no electric vehicle charging station
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Hotel Location & Accessibility,Are there subway or bus stops nearby?,There is a bus station and no subway station
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Check-in & Check-out,What is the check-in time?,The Check-in time is at 3.00pm
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Check-in & Check-out,What is the check-out time?,"The Check-out time is at 12 O""clock"
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Check-in & Check-out,Can I request an early check-in?,"Yes , you can request an early check-in upon availibility"
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Check-in & Check-out,How late can I check-out? Is there a fee for late check-out?,Before 6.00 we do charge 50% and up to 6.oo we charge the full night rate
