id,name,service category,service name,type,description,opening_hours
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Restaurant,Takumi,"Sushis, Cocktails, Sushi Bar","Welcome to ""Takumi,"" a haven of culinary delights where Japanese tradition meets gastronomic innovation. Nestled in the heart of the city, our sushi bar invites you to an unparalleled sensory experience.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Restaurant,Ftour Ramadan,"Ramada, Ftour","Indulge in an unforgettable ftour experience at La Maison Arabe, a premier Moroccan restaurant renowned for its rich buffet. As the evening call to prayer echoes, enjoy a variety of main dishes. La Maison Arabe promises an ambiance that weaves modern luxury with authentic Moroccan charm, ensuring your ftour is as visually stunning as it is delicious.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Rooms & Accommodation,Suite présidentielle,Suite,"Eminently spacious, deliciously arranged, subtly decorated, equipped with a large bathroom of very high standard and high-end bedding, it was designed with infinite attention to detail and perfectly highlighted thanks to the presence of numerous works of art.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Rooms & Accommodation,Suite junior,Suite,"Our Junior Suites, spacious, comfortable and modern, are designed to offer you a stay in the heart of refinement.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Request - Check In/Out,Check-in/Check-out,,"Early check-in and late check-out are available upon request, subject to availability. Whether you want to settle in sooner or extend your stay, we’ll do our best to accommodate your needs.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Request - Concierge,Concierge,,"Our concierge service is here to cater to your every need, from booking the perfect dinner spot to arranging transportation and securing tickets to events. Let us make your stay memorable by personalizing your experience with us",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Corporate Events,Meeting Rooms,Conference Room,"Our versatile meeting spaces are ideal for both small conferences and meetings, with capacities ranging from 16 to 40 participants. Each room is equipped with modern amenities to facilitate productive and seamless discussions.	",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Restaurant,L'épicurien,French,"Discover the new Bistronomique menu of ""L'épicurien"" with a Michelin-starred chef in the kitchen. In a completely renovated setting, for lunch or dinner, enjoy a creative, punchy and comforting cuisine with a view of the Andalusian gardens and the pool.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Restaurant,La Maison Arabe,Moroccan,"La Maison Arabe, the quintessential Moroccan restaurant. The best of what the country's gastronomy has to offer is concentrated here, a cuisine made with love and application, for your greatest delight: the real couscous, and its selected ingredients, the tagine in all its components and subtleties, the sweetness of a sweet final note. A gourmet delight, an unforgettable experience for the palate in a setting worthy of a Thousand and One Nights.",
642c7a5a-63af-4dc1-9d03-fc96c0e67f17,Tour Hassan Palace,Request - Other,Other,,Our hotel’s concierge service is at your disposal for any additional needs during your stay. Just send us your request.,
