id,name,category,question,response
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Where is the hotel located?, Mohamed 6 avenue . Hivernage area 
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Can I have the hotel location on Google Maps?,https://maps.app.goo.gl/CKjSrpgXRTK5Ynkc8
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,What's the neighborhood like?,Luxury quarter
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,How far is the hotel from the city center?,10 min drive
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Are there any public transportation options?,Bus & Taxi
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Do you offer airport shuttle service?,No
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Can I arrange for a private transfer?,Yes
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,"Is parking available at the hotel, and if so, is there a fee?",yes free for resident guests
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Are there electric vehicle charging stations?,yes free for resident guests
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Hotel Location & Accessibility,Are there subway or bus stops nearby?,yes free for resident guests
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Check-in & Check-out,What is the check-in time?,15H
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Check-in & Check-out,What is the check-out time?,12H
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Check-in & Check-out,Can I request an early check-in?,Yes upon availability (Price TBC) With Revenue Director
