id,name,service category,service name,type,description,opening_hours
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Restaurant,Saray,"Chefs, Interaction","Saray combines Berber, Arab, and Andalusian decor inside or on its shaded terrace with olive trees for breakfast and dinner buffets featuring international and Moroccan cuisine. Chefs lead workshops, enhancing dining experiences with personal touches.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Restaurant,Marcelona,"SPANICH & ANDALUSIAN CUISINE
FESTIVE CONCEPT
LIVE BAND & DJ
HAPPY HOURS
BAR & WINES MEZZE
WINES DIRECTION
HERBS FROM THE GARDEN
Drinks and wine menu","Marcelona is a lively, authentic spot celebrating Spanish culture and cuisine. Our Chef crafts Andalusian classics with a refined touch, blending traditional flavors with innovative combinations while respecting Spanish culinary traditions. The menu offers a mix of typical dishes and new tastes, rounded off with signature desserts. Evenings at Marcelona feature a live band, infusing the atmosphere with Andalusian music, enhancing the cultural and gastronomic journey.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Restaurant,Manso,"PIZZAS AND BURGERS
BARBECUE SHOW
REFRESHING COCKTAILS
NICE TRENDY TERRACE
QUICK BITE DURING THE DAY                 
À la carte menu","The Manso Pool Lounge invites you to relax on the terrace or poolside with light Mediterranean and international dishes, blending gourmet tastes with novelty. Throughout the day, enjoy refreshing drinks in a vibrant DJ lounge setting. Open from noon until early evening, this green oasis is the perfect spot for leisure and relaxation.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Restaurant,Jamra,"

NUTRITION & TASTY FOOD
AND OFFERS HEALTHY SALADS AND PROTEINS, POKE BOWLS
HEALTHY FOOD ON A POOL IN THE HEART OF THE RED CITY
Detox JUICES 
SENSE & BOOST VITALITY","
Jamra, nestled near the Yoga studio and overlooking a serene, curvilinear pool, harmonizes with its floral and green surroundings. This restaurant serves organic, healthy cuisine with Oriental and Asian touches, featuring vegan, vegetarian, poke bowls, gluten-free, and mezze dishes for a distinctive taste journey. Its healthy juices, infused with botanical flavors, are designed to awaken the senses and enhance vitality, offering a refreshing dining experience.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Lounge & Bar,Manso lounge,"Tapas & Fingers Food Menu
LOUNGE / CASUAL
LIVE DJ AND SPECIAL EVENTS 
PLACE TO BE
BITES AND SIGNATURES COCKTAILS
LIFESTYLE
TERRACE OVERLOOKING THE POOL
THEATRE & RITUAL","At Manso Lounge. Music. Tapas, choose between the cozy indoors or the terrace with views of lush gardens and a pool, to enjoy Mediterranean 'tapas' cuisine amidst a DJ lounge atmosphere with Oriental touches. This intimate and stylish spot is a haven for cocktail enthusiasts, offering custom, delicate concoctions by our bartender. These creations are made with seasonal, carefully chosen spirits, ensuring each drink is a unique experience.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Spa & well-being,SPA O de Rose by cinq mondes,"SPA
relaxation
massage
sauna
hammam
","
Le Spa Ô de Roses by Cinq Mondes is nestled around two secluded patios below the gardens, in the quietest part of the oasis, featuring massage rooms, hammams, a sauna, and even an outdoor jacuzzi. Its minimalist decor in black and white is accented with copper touches and an oversized water droplet motif, setting the stage for perfect tranquility. The sound of water, the scent of essential oils, and the serene, softly enveloping atmosphere lead guests to moments of ultimate relaxation.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Spa & well-being,OM Yoga,"RETREAT PLACE 
Yoga
Relaxing time
sport","The yoga studio at the Mövenpick Hotel Mansour Eddahbi, with its balanced decor and top-notch facilities, is designed for the full benefits of peaceful and relaxing yoga practice. Offering over 24 sessions a week, Om Yoga Marrakech hosts classes in 15 different yoga styles, including Bikram, Ashtanga, and Bungee, ensuring there's a yoga experience for everyone. For class descriptions and pricing, visit this website : https://omyoga.ma/studio-marrakech/",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Spa & well-being,Fitness,"Fitness 
Sport Equipment 
musculation
","Immerse yourself in an unparalleled fitness experience at the Mövenpick Hotel Mansour Eddahbi. Whether you prefer individual or group sessions, our fitness room offers personalized programs with custom coaching from Monday to Saturday. Join us at Gainz Express today and achieve your fitness goals!",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Room Service,Room Service,"room service 
Order from room 
","Our Room Service is available 24/7 to cater to your every need. Whether it's a late-night snack, a full-course meal, or special requests, our attentive staff will ensure your dining experience is perfect.	
You can find our menu on the following link : 
https://qr.mydigimenu.com/a638cac1-f030-4908-ae6f-53a6112abcef",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Kids Club,Les P'tits Sultans,"Kids
kindergarden 
children","The Mövenpick Hotel Mansour Eddahbi pampers children aged 4 to 12 with the Kids Club, a large, brightly lit space with cheerful colors designed just for them, featuring multiple rooms and small terraces. Over 25 safely supervised activities are offered, ranging from fun learning experiences to creativity-boosting sessions like street art workshops and exciting discoveries, ensuring every child has their moments of joy.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Membership,ALL,"Membership ALL
","Accor Live Limitless (ALL) lets you earn points on stays, dining, and experiences. Redeem them for free nights, upgrades, and more. Plus, get exclusive discounts and higher tiers with perks like room upgrades (subject to your level).
More info in this website: https://all.accor.com/enroll-loyalty/index.en.shtml#/verify-email?contextparam=B4P6&origin=self-enroll",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Things To Do,Shops,"Souvenirs
moroccan dress
shops
","
The concept store at the Mövenpick Hotel Mansour Eddahbi is Marrakech's premier shopping destination, featuring a constantly updated selection of trendy products. Discover the perfect gift or find that missing piece for your wardrobe among the brand showcases in the lobby and the designer space overlooking the gardens.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Things To Do,Arts,"Museum
Arts
Paints
","The Mezzanine Art Gallery offers a chic and understated atmosphere to showcase national and international artistic creation. Take an inspiring stroll through this exhibition space that overlooks the lobby. The gallery also serves as a gathering and sharing venue during opening receptions, which are significant cultural events. With a yearly schedule introducing a new artist approximately every two months, visitors can explore a wide range of art forms, including street art, photography, painting, sculpture, and primitive art.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Things To Do,Celebrations,"Flowers
decoration
birthdays
surprise party 
amenities in room ","The Mövenpick Hotel Mansour Eddahbi is your ideal partner for confidently organizing private events and creating unforgettable moments. Whether celebrating something special or simply wanting to gather your loved ones, the Jamra, with its stylish poolside terrace accommodating up to 250 people, chic and timeless decor, and a healthy, diverse menu, is the perfect spot for a trendy and fresh cocktail event. For seated dinners, choose the Saray for its space and terrace with a refined international buffet, or the Dahbi for a gastronomic journey through Moroccan culinary richness.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Things To Do,Day Pass,"
AN INTSGRAMMABLE PLACE
A TRENDY COFFEE WITH A LARGE CHOICE OF TEA
Enjoy one day pass


","Treat yourself to the relaxation you deserve! Experience our Day Pool Pass now and indulge in a day of absolute relaxation by our heated pools at 28 degrees Celsius in winter! The rate is 750 MAD per person, including a complimentary drink.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Rooms & Accommodation,SUPERIOR KING / TWIN,,The Superior room at Mövenpick Hotel Mansour Eddahbi offers 30 m² of subtle elegance and cozy comfort. Choose between a king-size bed or two singles for your perfect stay.,
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Rooms & Accommodation,SUPERIOR GARDEN VIEW / POOL VIEW KING & TWIN,,"Enjoy 30 m² of discreet luxury and comfort, with a choice of garden or pool views, in the Superior View room. Opt for a king-size or twin beds.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Rooms & Accommodation,"DELUXE CITY VIEW

",,"Experience a fabulous stay in the 43 m² Deluxe room at Mövenpick Hotel Mansour Eddahbi, where serenity and flawless decor meet.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Rooms & Accommodation,SUITES,,"Offering a private living room, the suites at Mövenpick Hotel Mansour Eddahbi range from a 50 m² Junior suite, a 72 m²+ Privilege suite, to a 100 m²+ Family suite, ensuring a delightfully private experience.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Rooms & Accommodation,PENTHOUSE,,"The unique and spectacular 290 m² Penthouse at Mövenpick Hotel Mansour Eddahbi features a living room, bedrooms, private pool, and terrace for unparalleled luxury.",
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Rooms & Accommodation,"DELUXE GARDEN VIEW
",,The 43 m² Deluxe View room at Mövenpick Hotel Mansour Eddahbi combines serene decor with a garden view for a magical stay.,
8c9796ee-28f4-4994-bc2c-ead53c32ae89,Mövenpick Hotel Mansour Eddahbi et Palais des Congrès,Events & Seminars,Conference Rooms,,"With nearly 500 flights weekly connecting Marrakech to the globe, the Mövenpick Hotel Mansour Eddahbi stands as the ideal venue for both professional and private events. Offering elegance and uniqueness, whether indoors or outdoors, this location provides various hosting options tailored to ensure your event is unforgettable. Exceptional service is a hallmark, guaranteeing that every reception, meeting, or celebration hosted here leaves a lasting impression, blending seamlessly with the exotic allure of Marrakech.",
